Driver,RelativePace,PaceStdDev,FastestLapDelta,FullThrottleRatio,BrakeUsageRatio,GearChangeRate,AvgBrakeDistance,AvgEntrySpeed,AvgExitSpeed,AvgSpeedReduction,DegradationRate,PaceDropoff
ALB,1.002416982356299,3.8820497782477097,1.4113333333333322,0.42179356938646023,0.21685541611318981,0.06504896251159561,78.2555440596487,222.4568711954876,129.42147695984139,93.03539423564621,-0.555945488042731,-10.435787356321839
ALO,1.0032372122525117,3.7537845743139022,1.8172173913043468,0.46431067094853945,0.20328038084750266,0.07108074249715667,75.20879753160848,221.16566596855557,130.70674240952192,90.45892355903366,-0.497510519136489,-9.525572327044022
ANT,0.9998862297852094,3.39941140444425,1.4307391304347818,0.4556884475537426,0.22204545314320964,0.06377339896252743,78.8139872758123,226.1481316532729,131.22176168952194,94.92636996375097,-0.41271638852821174,-8.556816993464052
BEA,1.004453838019508,3.6678492529584443,1.8592083333333325,0.46608700693618993,0.21636597740052396,0.06402345712510635,78.4297232138387,226.42549536822412,133.08151902156328,93.34397634666082,-0.5870552270722084,-9.462333333333335
BOR,1.0073971610710386,3.4345913412726565,1.8812857142857131,0.4357149289318473,0.22935711517881685,0.06924041040141478,79.08405073238272,215.94297446448738,124.0398100268809,91.90316443760646,-0.32765815944277626,-6.9900133333333345
COL,1.0079748254763725,3.5420127492158358,1.8156470588235285,0.4504963709496146,0.20114383886250461,0.06040684932872552,74.13095573284771,220.61743841436152,129.98832465228548,90.62911376207602,-0.5786388182583005,-8.488214814814814
DOO,1.0060933985469651,3.2282693590442104,1.497250000000001,0.3453776402406972,0.20326583050672195,0.05106303202136145,77.50465222294831,204.2750622329821,112.49088945154847,91.78417278143361,-0.16885279964754354,-3.940074074074076
GAS,1.0059768223475891,3.544770695980034,1.790681818181818,0.468335091830188,0.21600491443480518,0.05947500093997951,81.29579878502304,224.11072559337038,126.6864447347973,97.42428085857311,-0.5188805445541911,-8.937209876543209
HAD,1.0026689001053373,3.4661717820444866,2.0957391304347808,0.48705063525703,0.23368755717890508,0.05664949280374922,78.21281410585036,226.0146601122693,128.89067664251326,97.123983469756,-0.4787697382903129,-8.891438271604938
HAM,0.9973261385209606,3.59072165808275,1.0217500000000002,0.45671300116887176,0.2361509524491389,0.062029120020850405,82.64332022730258,222.96189648905752,128.37775387063652,94.58414261842098,-0.5689797078554905,-9.51027868852459
HUL,1.006499056866053,3.3029741872210647,1.7516521739130422,0.463597600983727,0.21024861808412054,0.06214669414660983,75.6144906437183,221.4597042167838,126.81446414966413,94.64524006711967,-0.5040202501490074,-8.181056603773586
LAW,1.004963237749588,3.581273573734943,1.7154545454545451,0.4460762844028894,0.21184372423992012,0.059140465636967086,80.99947185578262,221.20543330718303,124.00812285573926,97.19731045144376,-0.38733183780105784,-8.571366666666668
LEC,0.9922081198089693,3.275866882665393,1.1017826086956506,0.4774662865363239,0.21409510464277792,0.06360918837280836,74.36139075557197,220.9636088055175,129.36980169117342,91.59380711434407,-0.549969976529109,-9.650224137931035
NOR,0.9877403098571919,3.273547177893505,0.3615416666666664,0.4713516950425831,0.18839274152494667,0.06526485835053583,74.20385823110236,225.69861767552382,132.31867543791085,93.37994223761295,-0.6648202144921238,-10.90231693989071
OCO,1.004614734715863,3.349272343034592,1.944083333333331,0.46052386408502555,0.2468594223152983,0.06303844609709731,74.58602051985002,213.42574661653842,131.96427801117812,81.46146860536032,-0.2467915843391791,-5.747326923076925
PIA,0.9876855775667471,3.3609169608304983,0.3888695652173908,0.4658638428496893,0.20444044192437358,0.06400571284329666,80.01280086828613,231.02554679802654,131.07213514558123,99.95341165244531,-0.5536592024624934,-9.51208888888889
RUS,0.9943714502051787,3.0943768253312136,0.9772499999999992,0.4671889209925659,0.20107003187189543,0.06678442986914877,76.12481822127609,227.2897252582529,130.55392948443082,96.73579577382203,-0.5145004489638085,-9.649784946236558
SAI,1.0019838651330577,4.045681130150953,1.1635714285714254,0.43822559482927054,0.2308679922301674,0.06161746268037738,84.89634172508134,222.8856658783167,125.94156270607054,96.94410317224614,-0.5425458613962508,-8.71830303030303
STR,1.0055388626638944,3.692936985812572,1.5754545454545434,0.4661027343456732,0.2144303641785191,0.06841993200459855,76.82691752715253,220.50950821534568,129.25171847817734,91.25778973716832,-0.4733175990399051,-8.237029761904765
TSU,1.0037669862769645,3.7601147361807707,1.6266956521739124,0.4296617740837996,0.2012952349844969,0.059463394002110516,77.30036722948091,221.9683523029478,127.86031970401903,94.1080325989288,-0.5910609268313506,-10.431587570621469
VER,0.9901106779196786,3.366975245308034,0.6079565217391306,0.4704453175083574,0.1980834356690029,0.06085351252382353,75.447887778354,219.85282897335435,126.81385216883068,93.03897680452366,-0.6282797984676625,-10.547146892655363
